time,rayId,X,Y,Z,intensity
0.100426,0,7.09341,-0.309705,-0.31,0.0138845
0.100426,1,11.8272,-0.516385,-0.31,0.00833238
0.100426,2,35.4887,-1.54947,-0.31,0.00277774
0.100426,3,0,0,0,0
0.100426,4,0,0,0,0
0.100426,5,0,0,0,0
0.100426,6,7.09773,-0.185861,-0.31,0.0138845
0.100426,7,11.8344,-0.309894,-0.31,0.00833238
0.100426,8,35.5103,-0.92987,-0.31,0.00277774
0.100426,9,0,0,0,0
0.100426,10,0,0,0,0
0.100426,11,0,0,0,0
0.100426,12,7.0999,-0.0619599,-0.31,0.0138845
0.100426,13,11.838,-0.103308,-0.31,0.00833238
0.100426,14,35.5211,-0.309988,-0.31,0.00277774
0.100426,15,0,0,0,0
0.100426,16,0,0,0,0
0.100426,17,0,0,0,0
0.100426,18,7.0999,0.0619599,-0.31,0.0138845
0.100426,19,11.838,0.103308,-0.31,0.00833238
0.100426,20,35.5211,0.309988,-0.31,0.00277774
0.100426,21,0,0,0,0
0.100426,22,0,0,0,0
0.100426,23,0,0,0,0
0.100426,24,7.09773,0.185861,-0.31,0.0138845
0.100426,25,11.8344,0.309894,-0.31,0.00833238
0.100426,26,35.5103,0.92987,-0.31,0.00277774
0.100426,27,0,0,0,0
0.100426,28,0,0,0,0
0.100426,29,0,0,0,0
0.100426,30,7.09341,0.309705,-0.31,0.0138845
0.100426,31,11.8272,0.516385,-0.31,0.00833238
0.100426,32,35.4887,1.54947,-0.31,0.00277774
0.100426,33,0,0,0,0
0.100426,34,0,0,0,0
0.100426,35,0,0,0,0
0.209934,0,7.12707,-0.311175,-0.311471,0.013835
0.209934,1,11.9117,-0.520076,-0.312216,0.00828289
0.209934,2,36.1748,-1.57942,-0.315993,0.00272824
0.209934,3,0,0,0,0
0.209934,4,0,0,0,0
0.209934,5,0,0,0,0
0.209934,6,7.13143,-0.186743,-0.311472,0.013835
0.209934,7,11.919,-0.31211,-0.312217,0.00828286
0.209934,8,36.1972,-0.947858,-0.315997,0.00272821
0.209934,9,0,0,0,0
0.209934,10,0,0,0,0
0.209934,11,0,0,0,0
0.209934,12,7.13361,-0.0622541,-0.311472,0.013835
0.209934,13,11.9227,-0.104047,-0.312218,0.00828285
0.209934,14,36.2085,-0.315986,-0.315998,0.00272819
0.209934,15,0,0,0,0
0.209934,16,0,0,0,0
0.209934,17,0,0,0,0
0.209934,18,7.13361,0.062254,-0.311472,0.013835
0.209934,19,11.9227,0.104047,-0.312218,0.00828285
0.209934,20,36.2085,0.315986,-0.315998,0.00272819
0.209934,21,0,0,0,0
0.209934,22,0,0,0,0
0.209934,23,0,0,0,0
0.209934,24,7.13143,0.186743,-0.311472,0.013835
0.209934,25,11.919,0.31211,-0.312217,0.00828286
0.209934,26,36.1972,0.947858,-0.315997,0.00272821
0.209934,27,0,0,0,0
0.209934,28,0,0,0,0
0.209934,29,0,0,0,0
0.209934,30,7.12707,0.311175,-0.311471,0.013835
0.209934,31,11.9117,0.520076,-0.312216,0.00828289
0.209934,32,36.1748,1.57942,-0.315993,0.00272824
0.209934,33,0,0,0,0
0.209934,34,0,0,0,0
0.209934,35,0,0,0,0
0.309794,0,7.20763,-0.314692,-0.314992,0.0137182
0.309794,1,12.1156,-0.528979,-0.317561,0.00816597
0.309794,2,37.8993,-1.65472,-0.331057,0.00261129
0.309794,3,0,0,0,0
0.309794,4,0,0,0,0
0.309794,5,0,0,0,0
0.309794,6,7.21208,-0.188855,-0.314994,0.0137181
0.309794,7,12.1232,-0.317456,-0.317565,0.00816587
0.309794,8,37.9239,-0.993072,-0.33107,0.00261118
0.309794,9,0,0,0,0
0.309794,10,0,0,0,0
0.309794,11,0,0,0,0
0.309794,12,7.2143,-0.0629582,-0.314995,0.013718
0.309794,13,12.1269,-0.10583,-0.317567,0.00816582
0.309794,14,37.9362,-0.331064,-0.331077,0.00261113
0.309794,15,0,0,0,0
0.309794,16,0,0,0,0
0.309794,17,0,0,0,0
0.309794,18,7.2143,0.0629582,-0.314995,0.013718
0.309794,19,12.1269,0.10583,-0.317567,0.00816582
0.309794,20,37.9362,0.331064,-0.331077,0.00261113
0.309794,21,0,0,0,0
0.309794,22,0,0,0,0
0.309794,23,0,0,0,0
0.309794,24,7.21208,0.188855,-0.314994,0.0137181
0.309794,25,12.1232,0.317456,-0.317565,0.00816587
0.309794,26,37.9239,0.993072,-0.33107,0.00261118
0.309794,27,0,0,0,0
0.309794,28,0,0,0,0
0.309794,29,0,0,0,0
0.309794,30,7.20763,0.314692,-0.314992,0.0137182
0.309794,31,12.1156,0.528979,-0.317561,0.00816597
0.309794,32,37.2904,1.62814,-0.325739,0.00261129
0.309794,33,0,0,0,0
0.309794,34,0,0,0,0
0.309794,35,0,0,0,0
0.400525,0,7.30426,-0.318911,-0.319215,0.0135808
0.400525,1,12.3632,-0.53979,-0.324051,0.00802847
0.400525,2,40.1368,-1.75241,-0.350602,0.00247375
0.400525,3,0,0,0,0
0.400525,4,0,0,0,0
0.400525,5,0,0,0,0
0.400525,6,7.30881,-0.191388,-0.319219,0.0135806
0.400525,7,12.3711,-0.323947,-0.324058,0.00802829
0.400525,8,40.1643,-1.05174,-0.350628,0.00247356
0.400525,9,0,0,0,0
0.400525,10,0,0,0,0
0.400525,11,0,0,0,0
0.400525,12,7.31109,-0.0638029,-0.319221,0.0135805
0.400525,13,12.375,-0.107995,-0.324062,0.0080282
0.400525,14,40.178,-0.350628,-0.350641,0.00247347
0.400525,15,0,0,0,0
0.400525,16,0,0,0,0
0.400525,17,0,0,0,0
0.400525,18,7.31109,0.0638029,-0.319221,0.0135805
0.400525,19,12.375,0.107995,-0.324062,0.0080282
0.400525,20,40.178,0.350628,-0.350641,0.00247347
0.400525,21,0,0,0,0
0.400525,22,0,0,0,0
0.400525,23,0,0,0,0
0.400525,24,7.30881,0.191388,-0.319219,0.0135806
0.400525,25,12.3711,0.323948,-0.324059,0.00802829
0.400525,26,40.1643,1.05174,-0.350628,0.00247356
0.400525,27,0,0,0,0
0.400525,28,0,0,0,0
0.400525,29,0,0,0,0
0.400525,30,7.30426,0.318911,-0.319215,0.0135808
0.400525,31,12.3632,0.53979,-0.324051,0.00802847
0.400525,32,39.494,1.72435,-0.344988,0.00247375
